
2026-02-23 08:42:36.877 [main] INFO  initialize org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-02-23 08:42:36.943 [main] INFO  prepareWebApplicationContext org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 940 ms
2026-02-23 08:42:37.132 [main] INFO  afterPropertiesSet org.springframework.validation.beanvalidation.OptionalValidatorFactoryBean - Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Bean Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
2026-02-23 08:42:37.413 [main] INFO  start org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-02-23 08:42:56.376 [http-nio-8080-exec-1] INFO  initServletBean org.springframework.web.servlet.FrameworkServlet - Initializing Servlet 'dispatcherServlet'
2026-02-23 08:42:56.376 [http-nio-8080-exec-1] INFO  initServletBean org.springframework.web.servlet.FrameworkServlet - Completed initialization in 0 ms
2026-02-24 11:15:38.825 [main] INFO  initialize org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-02-24 11:15:38.918 [main] INFO  prepareWebApplicationContext org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1374 ms
2026-02-24 11:15:39.155 [main] INFO  afterPropertiesSet org.springframework.validation.beanvalidation.OptionalValidatorFactoryBean - Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Bean Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
2026-02-24 11:15:39.609 [main] INFO  start org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-02-24 14:30:00.319 [main] INFO  initialize org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-02-24 14:30:00.374 [main] INFO  prepareWebApplicationContext org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 646 ms
2026-02-24 14:30:00.513 [main] INFO  afterPropertiesSet org.springframework.validation.beanvalidation.OptionalValidatorFactoryBean - Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Bean Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
2026-02-24 14:30:00.721 [main] INFO  start org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-02-24 14:31:24.893 [http-nio-8080-exec-1] INFO  initServletBean org.springframework.web.servlet.FrameworkServlet - Initializing Servlet 'dispatcherServlet'
2026-02-24 14:31:24.895 [http-nio-8080-exec-1] INFO  initServletBean org.springframework.web.servlet.FrameworkServlet - Completed initialization in 2 ms
2026-02-25 11:08:10.214 [main] INFO  initialize org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-02-25 11:08:10.471 [main] INFO  prepareWebApplicationContext org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2132 ms
2026-02-25 11:08:11.163 [main] INFO  afterPropertiesSet org.springframework.validation.beanvalidation.OptionalValidatorFactoryBean - Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Bean Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
2026-02-25 11:08:12.188 [main] INFO  start org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-02-25 11:49:14.048 [http-nio-8080-exec-1] INFO  initServletBean org.springframework.web.servlet.FrameworkServlet - Initializing Servlet 'dispatcherServlet'
2026-02-25 11:49:14.096 [http-nio-8080-exec-1] INFO  initServletBean org.springframework.web.servlet.FrameworkServlet - Completed initialization in 47 ms
